CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol,resultKmeans,DENOM_SOCIAL
28.647.981/0001-82,-0.10396203729658812,0.22897818509962195,-0.2260497571484551,-0.32140740431761605,0.11729413014540015,1,
17.554.200/0001-99,0.6489487993870323,-0.8297732526608343,-0.006194058294042755,-0.79085388225381,0.17275970658721745,4,IBIUNA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
29.732.926/0001-53,0.2958084738346297,-0.9360473903138341,0.0746166698085125,-0.18186720821461896,0.06840129895726135,0,
18.391.138/0001-24,0.5720940911967992,-0.8432411650073117,-0.047446712391163416,-0.790659515299038,0.10771221899965418,4,IBIUNA LONG SHORT STLS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
23.000.848/0001-16,0.2599988396224455,-0.8419079196163181,-0.03390225237618188,-0.8148488946885338,0.09159671305604604,4,INFINITY HEDGE  FUNDO DE INVESTIMENTO MULTIMERCADO
11.419.940/0001-36,0.5583253250032902,-0.7920814534849843,0.004965087975039929,-0.31177672183188554,0.1770211702744087,4,ITAÚ DISTRIBUIDORES HEDGE PLUS MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO
06.170.624/0001-33,-0.20570099803632896,-0.3657370323541435,0.1604019514908653,-0.23482360319821305,0.0994748940471568,0,ITAÚ EQUITY HEDGE MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
17.419.592/0001-83,0.7577294532723909,-0.7334088467653175,0.04034678023276595,0.4195708726720061,0.177096809031802,3,ITAÚ HEDGE PLUS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
11.960.233/0001-52,0.7093444228398801,-0.7041001979755559,-0.027233698963086483,0.7903449056547118,0.17694929325551076,3,ITAÚ HEDGE PLUS VÉRTICE MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
17.412.175/0001-09,0.5965149777282021,-0.7325958220114359,-0.009307410427204735,0.20159917121499146,0.09932534236210004,3,ITAÚ LONG AND SHORT 30 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
29.259.742/0001-18,0.3392573925908085,-0.9202791516765604,-0.10100085673967282,-0.4029273995358423,0.13807234271381955,4,
17.420.064/0001-44,0.7145004658172014,-0.8790567645294493,-0.09586900712782424,-0.3604427625068101,0.09932815350231992,4,ITAÚ MULTIMERCADO LONG AND SHORT 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
28.075.485/0001-00,0.6121634374620142,-0.9399061481731996,-0.03376925028368797,-0.3954433576747208,0.1533662117064892,4,
11.390.053/0001-82,0.79563724027059,-0.7660811625774617,-0.020240473251426864,-0.9612445833913634,0.17675217137162713,4,ITAÚ PRIVATE HEDGE PLUS MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
17.329.579/0001-33,-0.3818956083879239,0.4027013685301377,-0.1525962822549534,-0.9013761216061248,0.11301343566056138,1,ITAÚ PRIVATE LONG AND SHORT PLUS MULTIMERCADO  FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO
31.341.378/0001-82,-0.11704000083809972,-0.9182464216545596,-0.04567795511615959,0.260445887628723,0.1364877690402995,0,
11.863.242/0001-25,0.692553229406839,-0.6372601794701283,-0.0007176718471987749,0.16983135123372847,0.17707073975452264,3,ITAÚ VEGA HP MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
09.143.318/0001-04,0.1975599601834462,0.09000106049166308,0.05121703604235809,-0.921913592608146,0.1920307474228496,1,JGP EQUITY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
20.485.412/0001-76,0.8020929503935535,-0.8655552342730407,0.05250783766203155,0.5434163858077257,0.08019250296795101,3,JGP WM OPT FI EM COTAS DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO
14.146.496/0001-10,0.7040273569069011,-0.7785480217278665,0.09012997546582896,0.8600575507586147,0.11627540030221165,3,KADIMA HIGH VOL FUNDO DE INVESTIMENTO MULTIMERCADO
09.441.308/0001-47,0.8237742286197577,-0.7565682531957278,0.08074053089951927,-0.9118689164979626,0.0904923922601528,4,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
32.318.799/0001-55,-0.13960980509623358,-0.7111418669892671,-0.2385936768793616,-0.4936331211789946,0.022563340204361185,0,
31.247.845/0001-00,0.062383802623998265,-0.9107963829178312,-0.08332149149932043,-0.0029385666729249047,0.044866362127067884,0,
29.726.133/0001-21,0.3475007925568665,-0.9341586212132528,0.021196032754718038,-0.2439276277308561,0.07785511818432557,4,
31.248.306/0001-95,0.06223653575467819,-0.9107963829178312,-0.2788977285705605,-0.7395295618092066,0.044880920357724265,0,
25.423.269/0001-01,0.6735911417609451,-0.8634355527543162,-0.025096080761437548,0.5486960613222636,0.1213872907975958,3,KAPITALO PWM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
20.008.080/0001-39,0.6029453605379774,-0.7517250913710474,-0.011151720199838506,0.04854795297735272,0.1225872680261882,3,KAPITALO Z VOLANS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
20.270.180/0001-39,0.5577802273002029,-0.8399524426462956,-0.02326996327746694,-0.8914177665962547,0.12232432635745905,4,KAPITALO ZETA A FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
30.521.581/0001-78,0.2311335853395117,-0.9315440338173812,-0.04667120941740392,0.5623887090686378,0.045446874342408274,3,
12.105.992/0001-09,0.3797612882006349,-0.8841906804859377,-0.006964218250778737,-0.08542844960091947,0.12259128275932027,0,KAPITALO ZETA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
27.879.995/0001-69,-0.2748860133050263,0.6900106135544938,-0.11129138348662752,-0.4139966205269444,0.09350270104706726,1,
13.081.827/0001-19,0.7726596557384676,-0.8277174298330827,-0.015140462681919003,-0.5337740604067958,0.12237823409784385,4,KAPITALO ZEVA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
26.218.403/0001-03,0.8207242262275906,-0.7651113269159331,-0.050161713033556835,-0.8321306271354899,0.12948099119844242,4,KINEA ATLAS FUNDO DE INVESTIMENTO MULTIMERCADO
29.762.315/0001-58,0.6671997257517633,-0.9086851787809188,0.00908661860602956,-0.7057098776740273,0.07066064464053261,4,
21.624.757/0001-26,0.8062130616255268,-0.7843721218705169,-0.1966253831458648,-0.6895794104863286,0.0894850434377755,4,KINEA CHRONOS FUNDO DE INVESTIMENTO MULTIMERCADO
32.320.644/0001-53,-0.3740275958179638,-0.5205907371779515,-0.3644843888291261,-0.442751668747204,0.01655182653323665,0,
31.570.019/0001-05,-0.1948139455217652,-0.7003185637470972,-0.09906389379521746,0.7243656888529704,0.03836683014554704,3,
30.566.221/0001-92,0.5084450010369819,-0.9110208131878044,-0.02585246768248136,-0.08993771532662892,0.0845152555906798,4,
30.329.404/0001-94,0.5603635402828071,-0.9126106063234868,-0.08381170801823044,0.11435601237944805,0.08464935354179205,3,
30.586.677/0001-14,0.5770108479454923,-0.9123205501912623,-0.07486619630445396,-0.6681637744946232,0.08442071192834233,4,
33.150.614/0001-09,0.1100520211799742,-0.9686321060862828,-0.06894307260472735,0.0824818468874134,0.05298408478522948,0,
32.741.788/0001-83,-0.034920108730448166,-0.965950633626774,-0.3298395215920306,-0.4064741430309971,0.05380204355164525,0,
