data;valor
11/03/2019;0,02462
12/03/2019;0,02462
13/03/2019;0,02462
14/03/2019;0,02462
15/03/2019;0,02462
18/03/2019;0,02462
19/03/2019;0,02462
20/03/2019;0,02462
21/03/2019;0,02462
22/03/2019;0,02462
25/03/2019;0,02462
26/03/2019;0,02462
27/03/2019;0,02462
28/03/2019;0,02462
29/03/2019;0,02462
01/04/2019;0,02462
02/04/2019;0,02462
03/04/2019;0,02462
04/04/2019;0,02462
05/04/2019;0,02462
08/04/2019;0,02462
09/04/2019;0,02462
10/04/2019;0,02462
11/04/2019;0,02462
12/04/2019;0,02462
15/04/2019;0,02462
16/04/2019;0,02462
17/04/2019;0,02462
18/04/2019;0,02462
22/04/2019;0,02462
23/04/2019;0,02462
24/04/2019;0,02462
25/04/2019;0,02462
26/04/2019;0,02462
29/04/2019;0,02462
30/04/2019;0,02462
02/05/2019;0,02462
03/05/2019;0,02462
06/05/2019;0,02462
07/05/2019;0,02462
08/05/2019;0,02462
09/05/2019;0,02462
10/05/2019;0,02462
13/05/2019;0,02462
14/05/2019;0,02462
15/05/2019;0,02462
16/05/2019;0,02462
17/05/2019;0,02462
20/05/2019;0,02462
21/05/2019;0,02462
22/05/2019;0,02462
23/05/2019;0,02462
24/05/2019;0,02462
27/05/2019;0,02462
28/05/2019;0,02462
29/05/2019;0,02462
30/05/2019;0,02462
31/05/2019;0,02462
03/06/2019;0,02462
04/06/2019;0,02462
05/06/2019;0,02462
06/06/2019;0,02462
07/06/2019;0,02462
10/06/2019;0,02462
11/06/2019;0,02462
12/06/2019;0,02462
13/06/2019;0,02462
14/06/2019;0,02462
17/06/2019;0,02462
18/06/2019;0,02462
19/06/2019;0,02462
21/06/2019;0,02462
24/06/2019;0,02462
25/06/2019;0,02462
26/06/2019;0,02462
27/06/2019;0,02462
28/06/2019;0,02462
01/07/2019;0,02462
02/07/2019;0,02462
03/07/2019;0,02462
04/07/2019;0,02462
05/07/2019;0,02462
08/07/2019;0,02462
09/07/2019;0,02462
10/07/2019;0,02462
11/07/2019;0,02462
12/07/2019;0,02462
15/07/2019;0,02462
16/07/2019;0,02462
17/07/2019;0,02462
18/07/2019;0,02462
19/07/2019;0,02462
22/07/2019;0,02462
23/07/2019;0,02462
24/07/2019;0,02462
25/07/2019;0,02462
26/07/2019;0,02462
29/07/2019;0,02462
30/07/2019;0,02462
31/07/2019;0,02462
01/08/2019;0,022751
02/08/2019;0,022751
05/08/2019;0,022751
06/08/2019;0,022751
07/08/2019;0,022751
08/08/2019;0,022751
09/08/2019;0,022751
12/08/2019;0,022751
